NODCCODE,ScientificName,Include_TB_Index,Hab_Cat,Est_Cat,Est_Use,Feeding_Cat,Feeding_Guild,Selected_Taxa
8860030201,Acanthostracion quadricornis,Y,B,MS,O,TS,ZB,N
8858010000,Achiridae spp.,N,B,ES,O,TS,ZB,N
8858030202,Achirus lineatus,Y,B,ES,O,TS,ZB,N
8804040401,Adinia xenica,Y,B,ES,O,TS,ZP,N
8713070101,Aetobatus narinari,Y,B,MS,F,TS,ZB,N
8739010101,Albula vulpes,Y,P,MS,S,TS,ZB,Y
6179140000,Alpheidae spp.,N,B,,,DV,DV,N
8860020101,Aluterus schoepfii,Y,B,MS,F,TS,HV,N
8820023901,Anarchopterus criniger,Y,B,ES,O,TS,ZP,N
8747020203,Anchoa cubana,Y,P,MS,F,TS,ZP,N
8747020201,Anchoa hepsetus,Y,P,ES,O,TS,ZP,N
8747020205,Anchoa lyolepis,Y,P,MS,F,TS,ZP,N
8747020202,Anchoa mitchilli,Y,P,ES,O,TS,ZP,N
8747020200,Anchoa spp.,N,P,MS,,,PV,N
8857030506,Ancylopsetta quadrocellata,Y,B,,S,TS,ZP,N
8835430301,Archosargus probatocephalus,Y,B,MS,O,TS,ZB,Y
5509051200,Argopecten spp.,Y,B,MS,O,TS,ZP,N
8777180202,Ariopsis felis,Y,B,ES,O,TS,PV,N
8840140102,Astroscopus y-graecum,Y,B,MS,S,TS,PV,N
8805020000,Atherinidae spp.,N,P,,,,ZP,N
8777180101,Bagre marinus,Y,B,ES,O,TS,PV,N
8835440301,Bairdiella chrysoura,Y,B,ES,O,TS,ZB,N
8847010903,Bathygobius soporator,Y,B,ES,O,TS,ZP,N
8847010900,Bathygobius spp.,N,B,,,,,N
8747010400,Brevoortia spp.,Y,P,MS,O,TS,ZP,N
8835430501,Calamus arctifrons,Y,B,MS,S,TS,ZB,N
8835430510,Calamus penna,Y,B,ES,S,TS,OV,N
8835430500,Calamus spp.,N,B,MS,S,TS,ZB,N
6189010304,Callinectes ornatus,Y,B,ES,O,TG,OV,N
6189010301,Callinectes sapidus,Y,B,ES,O,TG,OV,Y
6189010302,Callinectes similis,Y,B,MS,O,TG,ZB,N
6189010300,Callinectes spp.,N,B,ES,O,,OV,N
8835280303,Caranx hippos,Y,P,MS,F,TS,PV,N
8708020502,Carcharhinus leucas,Y,P,MS,O,TS,PV,N
8835010105,Centropomus undecimalis,Y,B,MS,O,TS,PV,Y
8835020301,Centropristis striata,Y,B,ES,S,TS,PV,N
8835520101,Chaetodipterus faber,Y,B,MS,F,TS,ZB,N
8842010302,Chasmodes saburrae,Y,B,ES,O,TG,OV,N
8861030101,Chilomycterus schoepfii,Y,B,ES,O,TS,ZB,N
8835280401,Chloroscombrus chrysurus,Y,P,MS,F,TS,PV,N
8835610221,Cichlasoma urophthalmus,Y,B,FS,F,TS,PV,N
8857030109,Citharichthys macrops,Y,B,MS,S,TS,ZB,N
8747010000,Clupeidae spp.,N,P,,,TS,ZP,N
8847010501,Ctenogobius boleosoma,Y,B,ES,O,TS,ZP,N
8847010511,Ctenogobius smaragdus,Y,B,ES,F,ZP,TS,N
8835440106,Cynoscion arenarius,Y,B,MS,O,TS,PV,Y
8835440102,Cynoscion nebulosus,Y,B,ES,O,TS,PV,Y
8804040101,Cyprinodon variegatus,Y,B,ES,O,TG,OV,N
8840130000,Dactyloscopidae spp.,N,B,MS,S,TS,PV,N
8840130204,Dactyloscopus moorei,Y,B,MS,S,TS,PV,N
8713050103,Dasyatis americana,Y,B,MS,F,TS,ZB,N
8713050105,Dasyatis sabina,Y,B,ES,O,TS,ZB,N
8713050106,Dasyatis say,Y,B,MS,F,TS,ZB,N
8835390204,Diapterus auratus,Y,B,,O,TS,ZB,N
8835390200,Diapterus spp.,N,B,,,TS,ZB,N
8835021002,Diplectrum formosum,Y,B,MS,S,TS,PV,N
8835430401,Diplodus holbrookii,Y,B,MS,S,TS,ZB,N
8747010502,Dorosoma petenense,Y,P,FS,S,TS,ZP,N
8835270202,Echeneis neucratoides,Y,P,MS,S,TG,OP,N
8738010101,Elops saurus,Y,P,MS,O,TS,PV,Y
8738010199,Elops smithi,N,P,MS,O,TS,PV,N
8857030201,Etropus crossotus,Y,B,MS,S,TS,ZB,N
8835390101,Eucinostomus argenteus,Y,B,ES,O,TS,ZB,N
8835390102,Eucinostomus gula,Y,B,ES,O,TS,ZB,N
8835390111,Eucinostomus harengulus,Y,B,ES,O,TS,ZB,N
8835390100,Eucinostomus spp.,Y,B,ES,O,TS,ZB,N
8835390203,Eugerres plumieri,Y,B,ES,O,TS,ZB,N
6177010102,Farfantepenaeus duorarum,Y,B,MS,O,TG,OV,Y
6177010100,Farfantepenaeus spp.,N,B,MS,O,TG,OV,Y
8819020101,Fistularia tabacaria,Y,B,MS,S,TS,PV,N
8804040501,Floridichthys carpio,Y,B,ES,O,TS,ZB,N
8804040201,Fundulus confluentus,Y,B,ES,O,TS,ZB,N
8804040207,Fundulus grandis,Y,B,ES,O,TS,ZB,N
8804040213,Fundulus similis,Y,B,ES,O,TS,ZB,N
8804080116,Gambusia holbrooki,Y,P,ES,O,TS,ZB,N
8784010102,Gobiesox strumosus,Y,B,ES,O,TS,ZB,N
8847010601,Gobiosoma bosc,Y,B,ES,O,TS,ZB,N
8847010606,Gobiosoma longipala,Y,B,ES,O,TS,ZB,N
8847010603,Gobiosoma robustum,Y,B,ES,O,TS,ZB,N
8847010600,Gobiosoma spp.,Y,B,ES,O,TS,ZB,N
8713050202,Gymnura micrura,Y,B,MS,F,TS,PV,N
8835400101,Haemulon aurolineatum,Y,B,MS,S,TS,ZB,N
8835400102,Haemulon plumierii,Y,B,MS,O,TS,ZB,N
8835400113,Haemulon sciurus,Y,B,MS,S,TS,ZB,N
8835400100,Haemulon spp.,N,B,MS,,,ZB,N
8839010702,Halichoeres bivittatus,Y,B,MS,S,TS,ZB,N
8747010803,Harengula jaguana,Y,P,ES,O,TS,ZP,N
8835281401,Hemicaranx amblyrhynchus,Y,P,MS,F,TS,ZB,N
8803040000,Hemiramphidae spp.,N,P,MS,S,TS,ZP,N
8803010202,Hemiramphus balao,Y,P,MS,S,TS,ZP,N
8803010200,Hemiramphus spp.,N,P,MS,S,TS,ZP,N
8820020201,Hippocampus erectus,Y,B,ES,O,TS,ZB,N
8820020200,Hippocampus spp.,N,B,ES,O,TS,ZB,N
8820020205,Hippocampus zosterae,Y,B,ES,O,TS,ZB,N
8777300301,Hoplosternum littorale,Y,B,FS,S,DV,DV,N
8842010598,Hypleurochilus caudovittatus,Y,B,ES,O,TG,OV,N
8803010399,Hyporhamphus meeki,Y,P,ES,F,TS,OV,N
8803010300,Hyporhamphus spp.,N,P,MS,,TS,ZP,N
8803010301,Hyporhamphus unifasciatus,Y,P,MS,F,TS,ZP,N
8842010201,Hypsoblennius hentz,Y,B,,O,TG,ZP,N
8839010901,Lachnolaimus maximus,Y,B,MS,F,TS,ZB,N
8860030100,Lactophrys spp.,N,B,MS,S,TG,OV,N
8860030101,Lactophrys trigonus,Y,B,MS,S,TG,OV,N
8835430201,Lagodon rhomboides,Y,B,MS,O,TG,OV,N
8835440401,Leiostomus xanthurus,Y,B,MS,O,TS,ZB,Y
8732010101,Lepisosteus osseus,Y,B,FS,S,TS,ZB,N
8835160504,Lepomis macrochirus,Y,B,FS,S,TS,PV,N
8835160500,Lepomis spp.,N,B,FS,S,TS,ZB,N
5802010101,Limulus polyphemus,Y,B,ES,O,TS,ZB,N
8847012501,Lophogobius cyprinoides,Y,B,ES,O,TG,OV,N
8804040301,Lucania parva,Y,B,ES,O,TS,ZB,N
8835360102,Lutjanus griseus,Y,B,MS,O,TS,PV,Y
8835360112,Lutjanus synagris,Y,B,MS,S,TS,PV,Y
8805020201,Membras martinica,Y,P,MS,F,TS,ZP,N
8805020300,Menidia spp.,Y,P,ES,O,TS,PV,N
6189021300,Menippe spp.,Y,B,MS,F,TS,PV,Y
8835440601,Menticirrhus americanus,Y,B,MS,O,TS,PV,Y
8835440602,Menticirrhus littoralis,Y,B,ES,S,TS,ZP,Y
8835440603,Menticirrhus saxatilis,Y,B,MS,F,TS,ZB,Y
8835440600,Menticirrhus spp.,N,B,MS,F,TS,PV,N
8847010701,Microgobius gulosus,Y,B,MS,O,TS,ZB,N
8847010702,Microgobius thalassinus,Y,B,ES,O,TS,ZB,N
8835440701,Micropogonias undulatus,Y,B,MS,O,TS,ZB,Y
8860020701,Monacanthus ciliatus,Y,B,MS,S,TS,HV,N
8836010101,Mugil cephalus,Y,P,MS,O,TG,OV,Y
8836010102,Mugil curema,Y,P,MS,O,TG,OV,Y
8836010100,Mugil spp.,N,P,MS,O,TG,OV,N
8836010105,Mugil trichodon,Y,P,MS,O,TG,OV,N
8835020501,Mycteroperca microlepis,Y,B,MS,O,TS,PV,N
8741130802,Myrophis punctatus,Y,B,MS,O,TS,,N
8839030301,Nicholsina usta,Y,B,ES,O,TS,HV,N
9998000000,No fish,Y,.,.,.,.,.,N
8776010601,Notemigonus crysoleucas,Y,B,FS,S,TS,ZP,N
8835360401,Ocyurus chrysurus,Y,P,MS,S,TS,PV,N
8787040113,Ogcocephalus cubifrons,Y,B,MS,S,TS,ZB,N
8835280501,Oligoplites saurus,Y,P,MS,O,TS,PV,N
8747010701,Opisthonema oglinum,Y,P,MS,O,TS,ZP,N
8783010202,Opsanus beta,Y,B,MS,F,TS,PV,N
8835615000,Oreochromis/Sarotherodon spp.,Y,B,FS,F,TS,HV,N
8835400201,Orthopristis chrysoptera,Y,B,MS,O,TS,ZB,N
8860030000,Ostraciidae spp.,N,,,,,,N
6179110301,Palaemonetes intermedius,N,B,ES,O,DV,DV,N
6179110303,Palaemonetes pugio,N,B,ES,O,DV,DV,N
6179110300,Palaemonetes spp.,N,B,ES,O,DV,DV,N
8842090506,Paraclinus marmoratus,Y,B,MS,S,TG,PV,N
8857030302,Paralichthys albigutta,Y,B,MS,F,TS,OV,Y
6177010000,Penaeidae spp.,N,B,MS,O,,,Y
8851030106,Peprilus paru,Y,P,MS,O,TS,ZP,N
8804080201,Poecilia latipinna,Y,B,ES,O,TS,HV,N
8835440801,Pogonias cromis,Y,B,MS,F,TS,ZB,Y
8835250101,Pomatomus saltatrix,Y,P,MS,F,TS,PV,Y
6189010600,Portunus spp.,Y,B,ES,O,TG,OV,N
8826020103,Prionotus scitulus,Y,B,MS,F,TS,ZB,N
8826020104,Prionotus tribulus,Y,B,MS,F,TS,ZB,N
8835450301,Pseudupeneus maculatus,Y,B,MS,S,TS,ZB,N
8835260101,Rachycentron canadum,Y,P,MS,S,TS,PV,Y
8713070301,Rhinoptera bonasus,Y,B,MS,O,TS,ZB,N
6177010201,Rimapenaeus constrictus,Y,B,,O,TG,OV,N
8747011001,Sardinella aurita,Y,P,MS,F,TS,ZP,N
8835610403,Sarotherodon melanotheron,Y,B,FS,F,TG,OV,N
8835440000,Sciaenidae spp.,N,B,MS,O,TS,PV,N
8835440901,Sciaenops ocellatus,Y,B,MS,O,TS,PV,Y
8850030502,Scomberomorus maculatus,Y,P,MS,S,TS,ZB,Y
8826010605,Scorpaena brasiliensis,Y,B,MS,S,TS,PV,N
8835280701,Selene vomer,Y,B,MS,S,TS,ZB,N
8835022201,Serraniculus pumilio,Y,B,MS,S,TS,ZB,N
8835022309,Serranus subligarius,Y,B,MS,S,TS,PV,N
6177040104,Sicyonia laevigata,N,B,MS,O,TG,OV,N
6177040107,Sicyonia parri,N,B,MS,O,TG,OV,N
6177040103,Sicyonia typica,N,B,MS,O,TG,OV,N
8861010208,Sphoeroides nephelus,Y,B,MS,O,TS,PV,N
8861010211,Sphoeroides spengleri,Y,B,MS,S,TS,PV,N
8861010200,Sphoeroides spp.,N,B,ES,S,TS,ZB,N
8837010104,Sphyraena barracuda,Y,P,MS,S,TS,ZB,N
8837010102,Sphyraena borealis,Y,P,MS,S,TS,ZB,N
8708030101,Sphyrna tiburo,Y,B,MS,O,TS,ZB,N
8860020703,Stephanolepis hispidus,Y,B,MS,S,TS,ZB,N
8860020704,Stephanolepis setifer,Y,B,MS,S,TS,ZB,N
8803020201,Strongylura marina,Y,P,ES,O,TS,PV,N
8803020202,Strongylura notata,Y,P,ES,O,TS,PV,N
8803020200,Strongylura spp.,N,P,ES,O,TS,PV,N
8803020203,Strongylura timucu,Y,P,ES,O,TS,PV,N
8858020101,Symphurus plagiusa,Y,B,MS,O,TS,ZB,N
8820020000,Syngnathidae spp.,N,,ES,,,ZB,N
8820020102,Syngnathus floridae,Y,B,MS,O,TS,PV,N
8820020104,Syngnathus louisianae,Y,B,ES,O,TS,ZB,N
8820020113,Syngnathus scovelli,Y,B,ES,O,TS,ZB,N
8820020100,Syngnathus spp.,N,B,,O,TS,,N
8762020000,Synodontidae spp.,N,,ES,,,ZB,N
8762020101,Synodus foetens,Y,B,MS,O,TS,PV,N
8835280901,Trachinotus carolinus,Y,P,MS,F,TS,ZB,Y
8835280902,Trachinotus falcatus,Y,P,MS,F,TS,PV,Y
8835280900,Trachinotus spp.,N,P,MS,F,TS,ZB,N
8858030101,Trinectes maculatus,Y,B,ES,O,TS,ZB,N
8803020302,Tylosurus crocodilus,N,P,MS,S,TS,PV,N
8791031007,Urophycis floridana,Y,B,MS,S,TS,ZB,N
